Station ID,Observer ID,Serial Number,Date,Time,ObsG,Dial,Feedback Correction,Earthtide Correction,Level Correction,Temperature Correction,Beam Error,Height,Elevation,Latitude,Longitude,Elapsed Time,Standard Deviation,Temperature Frequency,Note
AP001,morrison,B-107,2024/10/11,13:19:16,-7.5544,2669,-7.6511,0.0967,0,0,0,0,1453,34.078947,-106.92083,94,0.0042,91,No notes.
AP001,morrison,B-107,2024/10/11,13:19:22,-7.5394,2669,-7.6362,0.0968,0,0,0.0008,0,1453,34.078947,-106.92083,100,0.002,91,No notes.
AP001,morrison,B-107,2024/10/11,13:19:30,-7.5399,2669,-7.6367,0.0968,0,0,0,0,1453,34.078947,-106.92083,108,0.003,91,No notes.
AP001,morrison,B-107,2024/10/11,13:19:38,-7.5367,2669,-7.6336,0.0968,0,0,0.0015,0,1453,34.078947,-106.92083,115,0.0027,91,No notes.
AP001,morrison,B-107,2024/10/11,13:19:44,-7.5383,2669,-7.6351,0.0968,0,0,0.0003,0,1453,34.078947,-106.92083,122,0.0051,91,No notes.
AP001,morrison,B-107,2024/10/11,13:19:50,-7.5379,2669,-7.6348,0.0969,0,0,0.0002,0,1453,34.078947,-106.92083,128,0.0052,91,No notes.
AP001,morrison,B-107,2024/10/11,13:20:19,-7.5384,2669,-7.6353,0.0969,0,0,0,0,1453,34.078947,-106.92083,157,0.0047,91,No notes.
AP001,morrison,B-107,2024/10/11,13:20:49,-7.5399,2669,-7.6369,0.097,0,0,-0.0018,0,1453,34.078947,-106.92083,187,0.0014,91,No notes.
AP001,morrison,B-107,2024/10/11,13:21:32,-7.5335,2669,-7.6307,0.0972,0,0,0.0002,0,1453,34.078947,-106.92083,230,0.0012,91,No notes.
ESC23,morrion,B-107,2024/10/11,13:54:49,12.8942,2669,12.7926,0.1016,0,0,-0.0098,0,1408.14,34.120301,-106.886741,47,0.0087,93,No notes.
ESC23,morrion,B-107,2024/10/11,13:55:30,12.8845,2669,12.7829,0.1016,0,0,0.0018,0,1408.14,34.120301,-106.886741,88,0.0018,93,No notes.
ESC23,morrion,B-107,2024/10/11,13:55:39,12.8837,2669,12.782,0.1017,0,0,0.0003,0,1408.14,34.120301,-106.886741,97,0.0041,93,No notes.
ESC23,morrion,B-107,2024/10/11,13:55:53,12.8835,2669,12.7818,0.1017,0,0,0.0003,0,1408.14,34.120301,-106.886741,111,0.0033,93,No notes.
ESC23,morrion,B-107,2024/10/11,13:56:01,12.8825,2669,12.7808,0.1017,0,0,-0.0008,0,1408.14,34.120301,-106.886741,119,0.0036,93,No notes.
